Target: CBERS4A

Observer: AC
Start Time (UTC)            Stop Time (UTC)               Duration (s)         
Start Time (UTC)            Stop Time (UTC)               Duration (s)         
01 Jan 2000 16:36:34.314    01 Jan 2000 16:42:22.610      348.29595677    
01 Jan 2000 18:12:30.280    01 Jan 2000 18:23:36.966      666.68610707    
02 Jan 2000 04:57:21.777    02 Jan 2000 05:01:50.324      268.54663576    
02 Jan 2000 06:33:13.336    02 Jan 2000 06:44:18.635      665.29856933    
02 Jan 2000 17:37:14.748    02 Jan 2000 17:48:32.909      678.16127177    
03 Jan 2000 05:58:00.847    03 Jan 2000 06:09:14.066      673.21879644    
03 Jan 2000 07:40:16.131    03 Jan 2000 07:43:59.210      223.07903260    
03 Jan 2000 17:02:47.226    03 Jan 2000 17:12:52.581      605.35475817    
03 Jan 2000 18:42:22.956    03 Jan 2000 18:51:11.633      528.67696295    
04 Jan 2000 05:23:27.612    04 Jan 2000 05:33:19.872      592.25986716    
04 Jan 2000 07:02:43.077    04 Jan 2000 07:11:45.011      541.93458724    
04 Jan 2000 16:29:29.504    04 Jan 2000 16:36:16.584      407.07996577    
04 Jan 2000 18:06:03.519    04 Jan 2000 18:16:59.873      656.35469559    
05 Jan 2000 04:50:09.522    05 Jan 2000 04:56:01.397      351.87531587    
05 Jan 2000 06:26:44.827    05 Jan 2000 06:37:40.701      655.87370249    
05 Jan 2000 17:30:40.040    05 Jan 2000 17:42:01.972      681.93206673    
06 Jan 2000 05:51:26.388    06 Jan 2000 06:02:43.989      677.60011823    


Number of events : 17


Observer: MT
Start Time (UTC)            Stop Time (UTC)               Duration (s)         
01 Jan 2000 18:11:06.888    01 Jan 2000 18:22:26.581      679.69271148    
02 Jan 2000 04:59:25.075    02 Jan 2000 05:02:48.122      203.04706207    
02 Jan 2000 06:34:37.766    02 Jan 2000 06:45:44.370      666.60359739    
02 Jan 2000 17:36:06.866    02 Jan 2000 17:47:11.128      664.26254787    
02 Jan 2000 19:18:17.864    02 Jan 2000 19:23:06.360      288.49545949    
03 Jan 2000 05:59:26.693    03 Jan 2000 06:10:38.884      672.19024514    
03 Jan 2000 07:42:09.941    03 Jan 2000 07:45:01.896      171.95479647    
03 Jan 2000 17:02:00.265    03 Jan 2000 17:11:12.516      552.25097698    
03 Jan 2000 18:40:37.417    03 Jan 2000 18:50:16.030      578.61327709    
04 Jan 2000 05:24:59.169    04 Jan 2000 05:34:42.023      582.85404317    
04 Jan 2000 07:04:11.237    04 Jan 2000 07:13:09.267      538.02940103    
04 Jan 2000 16:29:47.369    04 Jan 2000 16:33:33.371      226.00155686    
04 Jan 2000 18:04:37.487    04 Jan 2000 18:15:51.255      673.76794982    
05 Jan 2000 04:52:00.084    05 Jan 2000 04:57:10.578      310.49352527    
05 Jan 2000 06:28:09.383    05 Jan 2000 06:39:06.453      657.07028497    
05 Jan 2000 17:29:29.422    05 Jan 2000 17:40:42.352      672.93061718    
05 Jan 2000 19:12:49.470    05 Jan 2000 19:15:32.254      162.78426811    
06 Jan 2000 05:52:51.738    06 Jan 2000 06:04:09.051      677.31300137    


Number of events : 18


Observer: PA
Start Time (UTC)            Stop Time (UTC)               Duration (s)         
01 Jan 2000 16:30:42.052    01 Jan 2000 16:36:48.646      366.59326970    
01 Jan 2000 18:07:07.854    01 Jan 2000 18:17:56.835      648.98117047    
02 Jan 2000 04:59:40.823    02 Jan 2000 05:09:42.664      601.84149141    
02 Jan 2000 06:39:27.081    02 Jan 2000 06:47:33.514      486.43328460    
02 Jan 2000 17:31:41.719    02 Jan 2000 17:43:07.198      685.47892909    
03 Jan 2000 04:26:34.833    03 Jan 2000 04:32:35.479      360.64603406    
03 Jan 2000 06:03:02.209    03 Jan 2000 06:13:46.535      644.32567087    
03 Jan 2000 16:57:04.108    03 Jan 2000 17:07:30.250      626.14158781    
03 Jan 2000 18:37:23.694    03 Jan 2000 18:44:49.294      445.60046381    
04 Jan 2000 05:27:35.973    04 Jan 2000 05:38:57.642      681.66899640    
04 Jan 2000 16:23:37.848    04 Jan 2000 16:30:45.866      428.01768413    
04 Jan 2000 18:00:43.164    04 Jan 2000 18:11:15.942      632.77750629    
05 Jan 2000 04:52:57.544    05 Jan 2000 05:03:20.303      622.75901997    
05 Jan 2000 06:33:17.145    05 Jan 2000 06:40:36.742      439.59710451    
05 Jan 2000 17:25:08.712    05 Jan 2000 17:36:34.671      685.95832890    
06 Jan 2000 04:19:30.459    06 Jan 2000 04:26:33.600      423.14159693    
06 Jan 2000 05:56:37.453    06 Jan 2000 06:07:05.417      627.96387034    


Number of events : 17


Observer: PB
Start Time (UTC)            Stop Time (UTC)               Duration (s)         
01 Jan 2000 16:28:47.104    01 Jan 2000 16:40:04.541      677.43767223    
02 Jan 2000 04:56:43.364    02 Jan 2000 05:08:00.961      677.59702059    
02 Jan 2000 15:54:26.513    02 Jan 2000 16:04:14.107      587.59376864    
02 Jan 2000 17:33:49.342    02 Jan 2000 17:42:32.757      523.41461628    
03 Jan 2000 04:21:44.781    03 Jan 2000 04:32:42.722      657.94040918    
03 Jan 2000 06:03:30.172    03 Jan 2000 06:08:21.795      291.62226435    
03 Jan 2000 15:21:38.576    03 Jan 2000 15:26:59.154      320.57845441    
03 Jan 2000 16:57:31.938    03 Jan 2000 17:08:30.876      658.93757895    
04 Jan 2000 03:47:40.160    04 Jan 2000 03:56:28.042      527.88141399    
04 Jan 2000 05:26:06.311    04 Jan 2000 05:35:43.083      576.77198346    
04 Jan 2000 16:22:11.703    04 Jan 2000 16:33:34.209      682.50632810    
