Target: SCD2

Observer: AC
Start Time (UTC)            Stop Time (UTC)               Duration (s)         
02 Jan 2000 15:19:26.538    02 Jan 2000 15:23:32.448      245.91016788    
02 Jan 2000 17:02:57.752    02 Jan 2000 17:13:44.301      646.54887220    
02 Jan 2000 18:48:42.125    02 Jan 2000 19:00:47.517      725.39230833    
02 Jan 2000 20:36:20.460    02 Jan 2000 20:46:10.912      590.45138805    
02 Jan 2000 22:27:28.811    02 Jan 2000 22:29:18.335      109.52410324    
03 Jan 2000 03:47:04.677    03 Jan 2000 03:55:42.956      518.27943963    
03 Jan 2000 05:32:09.049    03 Jan 2000 05:43:48.591      699.54192362    
03 Jan 2000 07:18:47.079    03 Jan 2000 07:29:52.389      665.31043496    
03 Jan 2000 09:08:00.467    03 Jan 2000 09:14:02.462      361.99532171    


Number of events : 17


Observer: PB
Start Time (UTC)            Stop Time (UTC)               Duration (s)         
01 Jan 2000 16:08:38.282    01 Jan 2000 16:16:45.701      487.41928622    
01 Jan 2000 17:53:10.932    01 Jan 2000 18:05:02.560      711.62830446    
01 Jan 2000 19:39:44.942    01 Jan 2000 19:51:16.784      691.84170922    
01 Jan 2000 21:28:01.145    01 Jan 2000 21:36:44.539      523.39449374    
01 Jan 2000 23:16:52.736    01 Jan 2000 23:22:43.859      351.12301565    
02 Jan 2000 01:03:35.807    02 Jan 2000 01:11:03.194      447.38705233    
02 Jan 2000 02:49:03.088    02 Jan 2000 02:59:40.890      637.80149332    
02 Jan 2000 04:34:55.957    02 Jan 2000 04:46:46.534      710.57713396    
02 Jan 2000 06:22:20.714    02 Jan 2000 06:32:00.356      579.64202516    
02 Jan 2000 15:24:21.555    02 Jan 2000 15:28:00.038      218.48272663    
02 Jan 2000 17:07:15.486    02 Jan 2000 17:18:16.499      661.01270568    
02 Jan 2000 18:53:05.467    02 Jan 2000 19:05:06.994      721.52765261    
02 Jan 2000 20:40:43.212    02 Jan 2000 20:50:46.252      603.03968824    
02 Jan 2000 22:29:37.723    02 Jan 2000 22:36:19.007      401.28375683    
03 Jan 2000 00:17:23.616    03 Jan 2000 00:23:40.624      377.00806623    
03 Jan 2000 02:03:03.886    03 Jan 2000 02:12:33.430      569.54418464    
03 Jan 2000 03:48:38.892    03 Jan 2000 04:00:20.180      701.28758876    
03 Jan 2000 05:35:17.232    03 Jan 2000 05:46:20.696      663.46437244    
03 Jan 2000 07:24:49.430    03 Jan 2000 07:29:48.511      299.08088946    


Number of events : 19


Observer: PE
Start Time (UTC)            Stop Time (UTC)               Duration (s)         
01 Jan 2000 16:09:04.155    01 Jan 2000 16:16:35.090      450.93528450    
01 Jan 2000 17:53:21.827    01 Jan 2000 18:05:06.654      704.82754296    
01 Jan 2000 19:39:47.051    01 Jan 2000 19:51:27.553      700.50151156    
01 Jan 2000 21:27:50.661    01 Jan 2000 21:37:03.398      552.73765521    
01 Jan 2000 23:16:25.482    01 Jan 2000 23:23:12.330      406.84763042    
02 Jan 2000 01:03:13.128    02 Jan 2000 01:11:19.443      486.31437526    
02 Jan 2000 02:48:49.992    02 Jan 2000 02:59:42.208      652.21630525    
02 Jan 2000 04:34:49.579    02 Jan 2000 04:46:38.393      708.81345350    
02 Jan 2000 06:22:24.309    02 Jan 2000 06:31:41.381      557.07171030    
02 Jan 2000 15:25:55.308    02 Jan 2000 15:26:41.021      45.713489538    
02 Jan 2000 17:07:30.375    02 Jan 2000 17:18:16.935      646.55961130    
02 Jan 2000 18:53:11.210    02 Jan 2000 19:05:15.209      723.99948559    
02 Jan 2000 20:40:38.558    02 Jan 2000 20:51:01.419      622.86074002    
02 Jan 2000 22:29:16.495    02 Jan 2000 22:36:44.550      448.05559753    
03 Jan 2000 00:16:56.568    03 Jan 2000 00:24:04.130      427.56209291    
03 Jan 2000 02:02:47.516    03 Jan 2000 02:12:39.806      592.28962994    
03 Jan 2000 03:48:29.894    03 Jan 2000 04:00:15.493      705.59937197    
03 Jan 2000 05:35:15.694    03 Jan 2000 05:46:06.991      651.29766301    
03 Jan 2000 07:25:22.467    03 Jan 2000 07:29:00.524      218.05765381    


Number of events : 19


Observer: PI
Start Time (UTC)            Stop Time (UTC)               Duration (s)         
01 Jan 2000 16:06:43.192    01 Jan 2000 16:13:42.954      419.76267302    
01 Jan 2000 17:50:56.431    01 Jan 2000 18:02:33.606      697.17541407    
01 Jan 2000 19:37:14.528    01 Jan 2000 19:48:59.680      705.15287532    
01 Jan 2000 21:25:26.660    01 Jan 2000 21:34:17.446      530.78569692    
01 Jan 2000 23:15:19.926    01 Jan 2000 23:19:10.920      230.99399451    
02 Jan 2000 01:02:59.875    02 Jan 2000 01:06:55.915      236.04014151    
02 Jan 2000 02:47:53.597    02 Jan 2000 02:56:43.479      529.88197143    
02 Jan 2000 04:33:13.200    02 Jan 2000 04:44:47.701      694.50100316    
02 Jan 2000 06:19:43.229    02 Jan 2000 06:30:58.305      675.07606986    
02 Jan 2000 08:08:47.474    02 Jan 2000 08:14:57.700      370.22679455    
02 Jan 2000 17:05:07.391    02 Jan 2000 17:15:37.743      630.35199452    
02 Jan 2000 18:50:41.194    02 Jan 2000 19:02:47.283      726.08959351    
02 Jan 2000 20:38:06.922    02 Jan 2000 20:48:26.739      619.81685974    
02 Jan 2000 22:27:26.140    02 Jan 2000 22:33:23.769      357.62907729    
03 Jan 2000 00:16:54.597    03 Jan 2000 00:19:14.357      139.75975479    
03 Jan 2000 02:02:06.862    03 Jan 2000 02:09:09.206      422.34475989    
03 Jan 2000 03:47:10.498    03 Jan 2000 03:57:59.275      648.77738178    
03 Jan 2000 05:33:06.470    03 Jan 2000 05:44:54.252      707.78218741    
03 Jan 2000 07:20:50.664    03 Jan 2000 07:29:55.771      545.10679016    


Number of events : 19


Observer: PR
Start Time (UTC)            Stop Time (UTC)               Duration (s)         
01 Jan 2000 19:40:18.268    01 Jan 2000 19:47:46.494      448.22668486    
01 Jan 2000 21:24:22.567    01 Jan 2000 21:35:36.315      673.74857347    
01 Jan 2000 23:10:13.256    01 Jan 2000 23:22:08.291      715.03491568    
02 Jan 2000 00:56:35.962    02 Jan 2000 01:08:30.327      714.36414351    
02 Jan 2000 02:43:02.817    02 Jan 2000 02:54:38.597      695.78034488    
02 Jan 2000 04:30:02.172    02 Jan 2000 04:39:43.346      581.17403694    
02 Jan 2000 18:57:08.102    02 Jan 2000 18:58:35.029      86.926793202    
02 Jan 2000 20:38:35.863    02 Jan 2000 20:48:57.006      621.14248497    
02 Jan 2000 22:23:57.269    02 Jan 2000 22:35:45.495      708.22587182    
03 Jan 2000 00:10:12.943    03 Jan 2000 00:22:08.792      715.84944493    
03 Jan 2000 01:56:38.324    03 Jan 2000 02:08:26.372      708.04769152    
03 Jan 2000 03:43:16.734    03 Jan 2000 03:54:04.953      648.21826316    
03 Jan 2000 05:31:38.137    03 Jan 2000 05:37:33.412      355.27468388    


Number of events : 13


Observer: RJ
Start Time (UTC)            Stop Time (UTC)               Duration (s)         
