Target,Observer,Start Time (UTC),Stop Time (UTC),Duration (s)
SCD1,EMMN,2000-01-02 18:53:33.695,2000-01-02 19:04:46.740,673.04456779
SCD1,EMMN,2000-01-02 20:39:34.386,2000-01-02 20:51:32.212,717.82607686
SCD1,EMMN,2000-01-02 22:27:21.701,2000-01-02 22:36:22.401,540.69944916
SCD1,EMMN,2000-01-03 07:26:26.739,2000-01-03 07:33:38.438,431.69861619
SCD1,EMMN,2000-01-03 09:10:37.576,2000-01-03 09:22:14.105,696.52849354
SCD1,EMMN,2000-01-03 10:56:54.381,2000-01-03 11:08:34.621,700.24007005
SCD1,EMMN,2000-01-03 12:45:00.764,2000-01-03 12:53:58.609,537.84477368
SCD1,EMMN,2000-01-03 14:34:12.641,2000-01-03 14:39:33.321,320.67941632
SCD1,EMMN,2000-01-03 16:21:18.423,2000-01-03 16:27:42.191,383.76758090
SCD1,EMMN,2000-01-03 18:06:37.836,2000-01-03 18:16:45.595,607.75902715
SCD1,EMMN,2000-01-03 19:52:14.753,2000-01-03 20:04:16.195,721.44258216
SCD1,EMMN,2000-01-03 21:39:07.869,2000-01-03 21:49:55.838,647.96857412
SCD1,EMMN,2000-01-03 23:29:40.096,2000-01-03 23:32:29.597,169.50186332
SCD1,EMMN,2000-01-04 08:23:52.371,2000-01-04 08:34:23.893,631.52128982
SCD1,EMMN,2000-01-04 10:09:23.396,2000-01-04 10:21:25.378,721.98252435
SCD1,EMMN,2000-01-04 11:56:45.697,2000-01-04 12:07:05.907,620.21004246
SCD1,EMMN,2000-01-04 13:45:44.470,2000-01-04 13:52:24.065,399.59477736
SCD1,EMMN,2000-01-04 15:34:05.139,2000-01-04 15:39:16.650,311.51096971
SCD1,EMMN,2000-01-04 17:19:45.469,2000-01-04 17:28:27.635,522.16659416
SCD1,EMMN,2000-01-04 19:05:07.432,2000-01-04 19:16:41.801,694.36873515
SCD1,EMMN,2000-01-04 20:51:21.893,2000-01-04 21:03:06.924,705.03117858
SCD1,EMMN,2000-01-04 22:39:41.990,2000-01-04 22:47:30.431,468.44113843
SCD1,EMMN,2000-01-05 07:37:30.932,2000-01-05 07:46:03.504,512.57229176
SCD1,EMMN,2000-01-05 09:22:10.748,2000-01-05 09:34:03.101,712.35305693
SCD1,EMMN,2000-01-05 11:08:47.895,2000-01-05 11:20:09.020,681.12538514
SCD1,EMMN,2000-01-05 12:57:12.828,2000-01-05 13:05:28.569,495.74044500
SCD1,EMMN,2000-01-05 14:46:18.959,2000-01-05 14:51:19.953,300.99437140
SCD1,EMMN,2000-01-05 16:32:51.665,2000-01-05 16:39:57.618,425.95220392
SCD1,EMMN,2000-01-05 18:18:08.782,2000-01-05 18:28:48.871,640.08894979
SCD1,EMMN,2000-01-05 20:03:55.318,2000-01-05 20:15:59.155,723.83713389
SCD1,EMMN,2000-01-05 21:51:10.453,2000-01-05 22:01:17.440,606.98716356
SCD1,EMMN,2000-01-06 06:51:57.003,2000-01-06 06:56:44.183,287.17994158
SCD1,EMMN,2000-01-06 08:35:16.652,2000-01-06 08:46:23.027,666.37499775
SCD1,EMMN,2000-01-06 10:21:08.560,2000-01-06 10:33:04.398,715.83802218
SCD1,ETA,2000-01-01 12:30:04.477,2000-01-01 12:39:25.814,561.33636385
SCD1,ETA,2000-01-01 14:21:04.820,2000-01-01 14:22:51.992,107.17261636
SCD1,ETA,2000-01-01 17:55:05.149,2000-01-01 17:59:58.738,293.58974638
SCD1,ETA,2000-01-01 19:39:22.359,2000-01-01 19:49:44.352,621.99372916
SCD1,ETA,2000-01-01 21:24:58.334,2000-01-01 21:36:58.968,720.63366511
SCD1,ETA,2000-01-01 23:12:14.611,2000-01-01 23:22:21.203,606.59230269
SCD1,ETA,2000-01-02 08:09:51.003,2000-01-02 08:19:16.901,565.89855119
SCD1,ETA,2000-01-02 09:54:56.835,2000-01-02 10:06:53.576,716.74064471
SCD1,ETA,2000-01-02 11:41:53.163,2000-01-02 11:52:41.485,648.32192949
SCD1,ETA,2000-01-02 13:31:10.896,2000-01-02 13:37:13.111,362.21487424
SCD1,ETA,2000-01-02 18:52:42.222,2000-01-02 19:01:23.815,521.59296804
SCD1,ETA,2000-01-02 20:37:47.804,2000-01-02 20:49:32.586,704.78217256
SCD1,ETA,2000-01-02 22:24:16.795,2000-01-02 22:35:38.587,681.79268060
SCD1,ETA,2000-01-03 00:13:12.959,2000-01-03 00:19:46.927,393.96855687
SCD1,ETA,2000-01-03 07:23:41.320,2000-01-03 07:30:31.897,410.57788358
SCD1,ETA,2000-01-03 09:07:55.091,2000-01-03 09:19:20.158,685.06727465
SCD1,ETA,2000-01-03 10:54:04.830,2000-01-03 11:05:45.439,700.60868195
SCD1,ETA,2000-01-03 12:42:18.537,2000-01-03 12:50:48.368,509.83086565
SCD1,ETA,2000-01-03 18:06:15.824,2000-01-03 18:12:34.408,378.58411915
SCD1,ETA,2000-01-03 19:50:50.652,2000-01-03 20:01:46.063,655.41116917
SCD1,ETA,2000-01-03 21:36:41.631,2000-01-03 21:48:38.294,716.66315726
